 INFO  Accepting connections at http://localhost:3100
 HTTP  8/7/2023 3:40:54 PM 192.160.20.1 GET /
 HTTP  8/7/2023 3:40:54 PM 192.160.20.1 Returned 200 in 35 ms
 HTTP  8/7/2023 3:40:54 PM 192.160.20.1 GET /static/js/main.3567146f.js
 HTTP  8/7/2023 3:40:54 PM 192.160.20.1 Returned 200 in 10 ms
 HTTP  8/7/2023 3:40:54 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  8/7/2023 3:40:54 PM 192.160.20.1 Returned 304 in 3 ms
 HTTP  8/7/2023 3:40:55 PM 192.160.20.1 GET /manifest.json
 HTTP  8/7/2023 3:40:55 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/7/2023 3:40:55 PM 192.160.20.1 GET /logo192.png
 HTTP  8/7/2023 3:40:55 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/7/2023 3:41:11 PM 192.160.20.1 GET /
 HTTP  8/7/2023 3:41:11 PM 192.160.20.1 Returned 304 in 4 ms
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 GET /static/js/main.3567146f.js
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 GET /favicon.ico
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 Returned 304 in 3 ms
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 GET /manifest.json
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 GET /logo192.png
 HTTP  8/7/2023 3:41:12 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 GET /manifest.json
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 Returned 304 in 3 ms
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 GET /static/js/main.3567146f.js.map
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 Returned 304 in 3 ms
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 Returned 200 in 16 ms
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 GET /static/css/main.e1693de0.css.map
 HTTP  8/7/2023 3:41:44 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/8/2023 4:30:22 PM 192.160.20.1 GET /
 HTTP  8/8/2023 4:30:22 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 GET /static/js/main.3567146f.js
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 GET /manifest.json
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 Returned 304 in 3 ms
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 GET /logo192.png
 HTTP  8/8/2023 4:30:23 PM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 GET /
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 Returned 200 in 4 ms
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 GET /static/js/main.3567146f.js
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 Returned 200 in 2 ms
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 GET /favicon.ico
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 Returned 200 in 2 ms
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 GET /logo192.png
 HTTP  8/14/2023 10:39:13 AM 192.160.20.1 Returned 200 in 1 ms
 HTTP  8/14/2023 10:39:14 AM 192.160.20.1 GET /manifest.json
 HTTP  8/14/2023 10:39:14 AM 192.160.20.1 Returned 304 in 2 ms
 HTTP  8/14/2023 10:39:14 AM 192.160.20.1 GET /logo192.png
 HTTP  8/14/2023 10:39:14 AM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 GET /
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 GET /static/js/main.3567146f.js
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 GET /manifest.json
 HTTP  8/14/2023 10:39:21 AM 192.160.20.1 Returned 304 in 1 ms
 HTTP  8/14/2023 10:39:22 AM 192.160.20.1 GET /logo192.png
 HTTP  8/14/2023 10:39:22 AM 192.160.20.1 Returned 304 in 1 ms
